,case_status
14461,0
10455,0
31782,1
30973,1
45369,1
18654,0
36708,1
42932,1
1014,0
4813,0
4018,0
36262,1
42568,1
8699,0
25076,1
42331,1
22103,0
11563,0
34080,1
40527,1
10343,0
26606,1
45858,1
47465,1
31239,1
45169,1
11595,0
47071,1
33153,1
22034,0
11223,0
26554,1
2861,0
30628,1
2595,0
42702,1
47927,1
32266,1
30757,1
13354,0
34534,1
12293,0
31234,1
9717,0
13693,0
6826,0
40436,1
6792,0
16963,0
39980,1
41501,1
6951,0
6216,0
11534,0
2857,0
12778,0
48349,1
43919,1
5799,0
18120,0
5095,0
43331,1
42237,1
43593,1
44566,1
41046,1
20826,0
7310,0
40782,1
8550,0
46041,1
31628,1
45843,1
24806,0
16192,0
41869,1
39384,1
36838,1
14745,0
34120,1
48005,1
31989,1
42309,1
33443,1
38498,1
27184,1
29172,1
32091,1
31818,1
6961,0
30868,1
15116,0
29885,1
9078,0
44336,1
48377,1
21459,0
7969,0
5543,0
33138,1
3318,0
28274,1
48971,1
25239,1
47068,1
43934,1
35898,1
34293,1
8318,0
43092,1
14043,0
19578,0
25580,1
19838,0
28013,1
25365,1
30813,1
49838,1
12850,0
8265,0
7070,0
14785,0
19262,0
440,0
5022,0
37138,1
47191,1
4822,0
42524,1
47557,1
32865,1
15841,0
26529,1
27183,1
12052,0
23999,0
16364,0
12001,0
25624,1
47673,1
29268,1
4339,0
33272,1
42364,1
24441,0
22531,0
10196,0
22748,0
574,0
16997,0
45474,1
41862,1
42756,1
15531,0
38343,1
16450,0
17108,0
47634,1
30960,1
14905,0
9597,0
11342,0
33616,1
1880,0
25939,1
24686,0
23287,0
13625,0
49590,1
48042,1
11736,0
18157,0
1676,0
14824,0
26577,1
45806,1
28692,1
18580,0
20642,0
47021,1
25110,1
29177,1
38907,1
30817,1
49776,1
12022,0
33364,1
38310,1
15560,0
18513,0
4907,0
43658,1
5642,0
10351,0
44570,1
39865,1
34865,1
47859,1
32598,1
15466,0
25481,1
10168,0
17633,0
6225,0
34309,1
31394,1
